university_name,course_name,Annual Tuition Fee*,Course Duration,Course Credits,Delivery Medium,Course Link,Application Fee,Yocketers have applied,Yocketers got admits,Yocketers are interested,GRE,TOEFL,IELTS,Application Link,Tuition Link
texas-a-and-m-university-college-station,human-resource-management-72908,"$34,493 ",18 Months,37,On Campus,https://mays.tamu.edu/ms-human-resource-management/,$90 ,,,,,,,https://businesscas2021.liaisoncas.com/applicant-ux/#/login,https://tuition.tamu.edu/
texas-a-and-m-university-college-station,professional-mba-55974,"$8,720 ",22 Months,45,On Campus,https://mays.tamu.edu/professional-mba/,$90 ,,,,,,,https://businesscas2021.liaisoncas.com/applicant-ux/#/login,
texas-a-and-m-university-college-station,marketing-74514,"$53,126 ",11 Months,36,On Campus,https://mays.tamu.edu/ms-marketing/,$90 ,,,,,,,https://businesscas2021.liaisoncas.com/applicant-ux/#/login,https://tuition.tamu.edu/?_gl=1*kceky3*_ga*MTc0NDgyNzcyLjE2MjQ2MjcxNzc.*_ga_SJ5GMN0ZQL*MTYyNzE4OTg1NS41LjAuMTYyNzE4OTg1NS42MA..*_ga_PBV6K94CC1*MTYyNzE4OTg1NS41LjAuMTYyNzE4OTg1NS42MA..&_ga=2.94697887.2076416492.1627189856-174482772.1624627177
texas-a-and-m-university-college-station,systems-engineering-66914,"$17,044 ",24 Months,30,On Campus,https://engineering.tamu.edu/academics/degrees/interdisciplinary/graduate/systems-engineering/index.html,$90 ,,,,,,,http://engineeringcas.liaisoncas.org/apply/,https://tuition.tamu.edu/?_ga=2.232592799.1896029571.1582095322-1255318731.1579249144
texas-a-and-m-university-college-station,educational-leadership-55975,"$7,979 ",24 Months,36,On Campus,,NA,,,,,,,,
texas-a-and-m-university-college-station,executive-mba-55841,"$24,655 ",21 Months,45,On Campus,https://mays.tamu.edu/executive-mba/,,,,,,,,,https://tuition.tamu.edu/
texas-a-and-m-university-college-station,land-&-property-development-67163,"$23,368 ",18 Months,36,On Campus,https://laup.arch.tamu.edu/academics/graduate/mlpd/,,1,1,,312,104,,,https://tuition.tamu.edu/
university-of-bath,data-science-53416,"£25,000",12 Months,120,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-data-science/,£60,34,31,21,314,105,7,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCM-DS01&code2=0005,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-data-science/#fees-funding
university-of-bath,automotive-engineering-53412,"£26,700",12 Months,102,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-automotive-engineering-with-electric-propulsion/,£60,12,12,18,302,97,8,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUME-AV08&code2=0002,https://www.bath.ac.uk/corporate-information/faculty-of-engineering-design-taught-postgraduate-tuition-fees-2022-23/
university-of-bath,business-analytics-53414,"£22,000",12 Months,60,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-business-analytics/,£60,12,11,6,310,7,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-BA01&code2=0006,https://www.bath.ac.uk/corporate-information/school-of-management-taught-postgraduate-tuition-fees-2021-22/
