Annual Tuition Fee*,Course Duration,Course Credits,Delivery Medium,Course Link,Tuition Link,Application Fee,Application Link
"£12,500",24 Months,NA,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-machine-learning-and-autonomous-systems-including-placement-year/,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2021-22/,NA,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCM-ML01&code2=0004
"£25,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2020/taught-postgraduate-courses/msc-civil-engineering-innovative-structural-materials/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-civil-engineering-innovative-structural-materials/#fees-funding,£60,https://www.bath.ac.uk/study/pg/applications.pl
"£21,500",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-economics-full-time/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-economics-full-time/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUES-EC01&code2=0012
"£37,500",12 Months,180,On Campus,https://mba.bath.ac.uk/full-time-mba/,https://www.bath.ac.uk/corporate-information/school-of-management-taught-postgraduate-tuition-fees-2021-22/,£60,https://www.bath.ac.uk/study/pg/applications.pl
"£21,500",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2019/taught-postgraduate-courses/msc-architectural-engineering-environmental-design/#course-structure,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-architectural-engineering-environmental-design/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUAR-AE01&code2=0013
"£19,400",12 Months,30,On Campus,https://www.bath.ac.uk/courses/postgraduate-2020/taught-postgraduate-courses/msc-international-development-with-economics-full-time/#course-structure,https://www.bath.ac.uk/corporate-information/faculty-of-humanities-social-sciences-taught-postgraduate-tuition-fees-2020-21/,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUSP-EC01&code2=0004
"£22,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-entrepreneurship-and-management/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-entrepreneurship-and-management/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-EN01&code2=0008
"£25,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-molecular-biosciences-bioinformatics/,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2021-22/,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUBB-MB10&code2=0003
"£19,100",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/mres-sociology-full-time/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/mres-sociology-full-time/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUXX-MR31&code2=0014
"£25,000",12 Months,54,On Campus,https://www.bath.ac.uk/courses/postgraduate-2019/taught-postgraduate-courses/msc-software-systems/,https://www.bath.ac.uk/courses/postgraduate-2019/taught-postgraduate-courses/msc-software-systems/,NA,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCM-SS01&code2=0011
"£21,500",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/ma-international-relations-full-time/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/ma-international-relations-full-time/#fees-funding,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUPL-IR01&code2=0010
"£22,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-human-resource-management-and-consulting/,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-human-resource-management-and-consulting/#entry-requirements,£60,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-HR01&code2=0010
